0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.5636470318,2.8217685223,4.4819417,3.3462207317,5,2.2341163158,3.3532876968,1.7718327045,1.4717086554,5,0
2.5199027061,2.7736198902,4.4053244591,3.2891230583,5,2.2914059162,3.4538846016,1.8244976997,1.515452981,5,0
2.5199027061,2.7736198902,4.4053244591,3.2891230583,5,2.2914059162,3.4538846016,1.8244976997,1.515452981,5,0
2.4761583805,2.7254710197,4.3178601265,3.2320253849,5,2.3539252281,3.5526928902,1.8771628141,1.5591973066,5,0
2.4761583805,2.7254710197,4.3178601265,3.2320253849,5,2.3539252281,3.5526928902,1.8771628141,1.5591973066,5,0
2.4324140549,2.6773223877,4.2614407539,3.1749277115,5,2.4216740131,3.6479241848,1.9298279285,1.6029416323,5,0
2.4324140549,2.6773223877,4.2614407539,3.1749277115,5,2.4216740131,3.6479241848,1.9298279285,1.6029416323,5,0
2.3886697292,2.6291735172,4.1421723366,3.1178302765,5,2.4894227982,3.755674839,1.9824929237,1.6466859579,5,0
2.3886697292,2.6291735172,4.1421723366,3.1178302765,5,2.4894227982,3.755674839,1.9824929237,1.6466859579,5,0
2.3449254036,2.5810248852,3.9499554634,3.0607326031,5,2.5584211349,5,2.0351579189,1.6904304028,5,565.4866776462
2.3449254036,2.5810248852,3.9499554634,3.0607326031,5,2.5584211349,5,2.0351579189,1.6904304028,5,565.4866776462
2.337346077,2.8180532455,4.2111148834,3.3972864151,5,2.2119643688,5,1.8653523922,1.6924703121,5,565.4866776462
2.337346077,2.8180532455,4.2111148834,3.3972864151,5,2.2119643688,5,1.8653523922,1.6924703121,5,565.4866776462
2.4685993195,3.160775423,4.5219845772,3.761875391,5,1.8886146545,2.3173539639,1.6811107397,1.657143116,5,0
2.4685993195,3.160775423,4.5219845772,3.761875391,5,1.8886146545,2.3173539639,1.6811107397,1.657143116,5,0
2.5840334892,3.0956158638,4.1860227585,3.6574935913,5,1.6400905848,5,1.564007163,1.5417090654,5,565.4866776462
2.5840334892,3.0956158638,4.1860227585,3.6574935913,5,1.6400905848,5,1.564007163,1.5417090654,5,565.4866776462
2.7693474293,3.3613426685,4.2931742668,3.7896084785,5,1.3530129194,2.2037141323,1.3629399538,1.4585087299,5,0
2.7693474293,3.3613426685,4.2931742668,3.7896084785,5,1.3530129194,2.2037141323,1.3629399538,1.4585087299,5,0
2.8635070324,3.2550230026,4.1079273224,3.5688431263,5,1.2586889267,5,1.1741638184,1.256495595,5,565.4866776462
2.8635070324,3.2550230026,4.1079273224,3.5688431263,5,1.2586889267,5,1.1741638184,1.256495595,5,565.4866776462
2.8902277946,3.2705764771,3.9462080002,3.6497085094,5,1.2765526772,5,0.9404838681,0.9829951525,5,565.4866776462
2.8902277946,3.2705764771,3.9462080002,3.6497085094,5,1.2765526772,5,0.9404838681,0.9829951525,5,565.4866776462
3.1118636131,3.3372702599,4.0043034554,3.5515241623,5,1.2434123755,5,0.8959817886,0.8354606628,5,565.4866776462
3.1118636131,3.3372702599,4.0043034554,3.5515241623,5,1.2434123755,5,0.8959817886,0.8354606628,5,565.4866776462
3.0790753365,3.2415688038,3.882806778,3.5936961174,5,1.625592947,5,0.914255619,0.7420072556,5,565.4866776462
3.0790753365,3.2415688038,3.882806778,3.5936961174,5,1.625592947,5,0.914255619,0.7420072556,5,565.4866776462
3.0744874477,3.2889950275,3.9392960072,3.4594249725,5,1.7764290571,5,0.866866529,0.7310906053,5,565.4866776462
3.0744874477,3.2889950275,3.9392960072,3.4594249725,5,1.7764290571,5,0.866866529,0.7310906053,5,565.4866776462
3.0821678638,3.1618590355,4.071369648,3.49761343,5,1.6904793978,5,1.0729781389,0.7200933695,5,565.4866776462
3.0821678638,3.1618590355,4.071369648,3.49761343,5,1.6904793978,5,1.0729781389,0.7200933695,5,565.4866776462
2.9877357483,3.2057714462,4.4435706139,3.6015791893,5,1.5435073376,2.8455433846,1.1515961885,0.8657154441,5,0
2.9877357483,3.2057714462,4.4435706139,3.6015791893,5,1.5435073376,2.8455433846,1.1515961885,0.8657154441,5,0
2.9455208778,3.0798296928,4.277613163,3.4600877762,5,1.7644137144,3.2541823387,1.2913967371,0.9893890619,5,0
2.9455208778,3.0798296928,4.277613163,3.4600877762,5,1.7644137144,3.2541823387,1.2913967371,0.9893890619,5,0
2.8208568096,2.953887701,4.1024184227,3.3185963631,5,2.0068905354,3.6825506687,1.4572279453,1.1130627394,5,0
2.8208568096,2.953887701,4.1024184227,3.3185963631,5,2.0068905354,3.6825506687,1.4572279453,1.1130627394,5,0
2.799254179,2.813970089,3.9272239208,3.17710495,5,2.2277970314,4.0911893845,1.6230590343,1.2201389074,5,0
2.799254179,2.813970089,3.9272239208,3.17710495,5,2.2277970314,4.0911893845,1.6230590343,1.2201389074,5,0
2.6745903492,2.7020041943,3.7427926064,3.0356132984,5,2.4628798962,4.518409729,1.7888902426,1.3448028564,5,0
2.6745903492,2.7020041943,3.7427926064,3.0356132984,5,2.4628798962,4.518409729,1.7888902426,1.3448028564,5,0
2.549926281,2.5760624409,3.5755155087,2.8941218853,5,2.6982684135,5,1.9547213316,1.4694669247,5,565.4866776462
2.549926281,2.5760624409,3.5755155087,2.8941218853,5,2.6982684135,5,1.9547213316,1.4694669247,5,565.4866776462
2.4010498524,2.6428003311,4.1908378601,3.1339895725,5,2.3026545048,3.4670171738,1.8225648403,1.5138474703,5,0
2.4010498524,2.6428003311,4.1908378601,3.1339895725,5,2.3026545048,3.4670171738,1.8225648403,1.5138474703,5,0
2.3573055267,2.5946514606,4.1161270142,3.0768918991,5,2.369153738,3.5647654533,1.8752298355,1.5575917959,5,0
2.3573055267,2.5946514606,4.1161270142,3.0768918991,5,2.369153738,3.5647654533,1.8752298355,1.5575917959,5,0
2.3135612011,2.5465028286,4.0402259827,3.0197942257,5,2.436902523,3.6599969864,1.9278949499,1.6013361216,5,0
2.3135612011,2.5465028286,4.0402259827,3.0197942257,5,2.436902523,3.6599969864,1.9278949499,1.6013361216,5,0
2.2698168755,2.4983539581,3.9580061436,2.9626965523,5,2.4912073612,3.759865284,1.9805600643,1.6450804472,5,0
2.2698168755,2.4983539581,3.9580061436,2.9626965523,5,2.4912073612,3.759865284,1.9805600643,1.6450804472,5,0
2.2260725498,2.4502053261,3.8843691349,2.9055988789,5,2.5674250126,3.8694043159,2.0332250595,1.6888247728,5,0
2.2260725498,2.4502053261,3.8843691349,2.9055988789,5,2.5674250126,3.8694043159,2.0332250595,1.6888247728,5,0
2.1823282242,2.4020564556,3.8077521324,2.8485012054,5,2.6257097721,3.9689412117,2.0858900547,1.7325690985,5,0
2.1823282242,2.4020564556,3.8077521324,2.8485012054,5,2.6257097721,3.9689412117,2.0858900547,1.7325690985,5,0
2.1385838985,2.3539078236,3.7202877998,2.791403532,5,2.6989426613,4.0688095093,2.1385552883,1.7763134241,5,0
2.1385838985,2.3539078236,3.7202877998,2.791403532,5,2.6989426613,4.0688095093,2.1385552883,1.7763134241,5,0
2.0948395729,2.3057591915,3.6380681992,2.734306097,5,2.7666914463,4.1640410423,2.1912202835,1.820057869,5,0
