0 degree,30 degree,45 degree,60 degree,90 degree,120 degree,135 degree,150 degree,180 degree,velocity,angular_velocity
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.1734933853,5,3.7931678295,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.2005410194,5,3.6071465015,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9538116455,4.2005410194,5,3.6071465015,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.953315258,3.993391037,5,5,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.953315258,3.993391037,5,5,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9515776634,3.7831170559,5,5,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9515776634,3.7831170559,5,5,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9709835052,3.5708677769,5,5,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4058504105,2.9709835052,3.5708677769,5,5,2.7081620693,2.2215979099,1.9400000572,5,0
2.0799999237,2.4105494022,2.8050639629,3.3867344856,5,5,5,2.1070826054,1.9400000572,1,141.3716694115
2.0799999237,2.4105494022,2.8050639629,3.3867344856,5,5,5,2.1070826054,1.9400000572,1,141.3716694115
2.1455235481,2.6042873859,3.0929307938,3.7973988056,5,5,2.3275732994,2.0249783993,1.9245861769,5,0
2.1455235481,2.6042873859,3.0929307938,3.7973988056,5,5,2.3275732994,2.0249783993,1.9245861769,5,0
2.2247157097,2.5761914253,2.88326478,3.5902252197,5,5,5,1.8351275921,1.8453940153,1,141.3716694115
2.2247157097,2.5761914253,2.88326478,3.5902252197,5,5,5,1.8351275921,1.8453940153,1,141.3716694115
2.3669621944,2.7759144306,3.3254830837,3.8491179943,5,5,1.9722099304,1.8029909134,1.8599158525,5,0
2.3669621944,2.7759144306,3.3254830837,3.8491179943,5,5,1.9722099304,1.8029909134,1.8599158525,5,0
2.4242758751,2.7031238079,3.1067388058,3.5677793026,5,5,5,1.6455034018,1.6974560022,1,141.3716694115
2.4242758751,2.7031238079,3.1067388058,3.5677793026,5,5,5,1.6455034018,1.6974560022,1,141.3716694115
2.4385550022,2.9681301117,3.3746225834,3.9182386398,5,5,1.8294820786,1.5483336449,1.7364984751,5,0
2.4385550022,2.9681301117,3.3746225834,3.9182386398,5,5,1.8294820786,1.5483336449,1.7364984751,5,0
2.5810852051,2.9377787113,3.198482275,3.6724696159,4.9025425911,5,5,1.4212479591,1.3695031404,1,141.3716694115
2.5810852051,2.9377787113,3.198482275,3.6724696159,4.9025425911,5,5,1.4212479591,1.3695031404,1,141.3716694115
2.708039999,3.0608932972,3.4399175644,3.8232421875,5,5,1.658534646,1.2502820492,1.5344406366,5,0
2.708039999,3.0608932972,3.4399175644,3.8232421875,5,5,1.658534646,1.2502820492,1.5344406366,5,0
2.6853628159,2.9247784615,3.233001709,3.5973541737,5,5,5,1.3495999575,1.171169281,1,141.3716694115
2.6853628159,2.9247784615,3.233001709,3.5973541737,5,5,5,1.3495999575,1.171169281,1,141.3716694115
2.8000895977,3.1240596771,3.3399944305,3.87803936,5,5,1.6401420832,1.18498528,1.2146495581,5,0
2.8000895977,3.1240596771,3.3399944305,3.87803936,5,5,1.6401420832,1.18498528,1.2146495581,5,0
2.7925999165,2.9859027863,3.2864406109,3.5114328861,5,5,5,1.3397701979,1.0182337761,1,141.3716694115
2.7925999165,2.9859027863,3.2864406109,3.5114328861,5,5,5,1.3397701979,1.0182337761,1,141.3716694115
2.7756259441,3.041271925,3.3896193504,3.7595646381,5,5,2.1662349701,1.1029107571,1.0135757923,5,0
